"Guys, start comic strip?? Image unrelated thinking making one seeing pop recently.","FundamentalPaperEdu","comics"
"OC Simple Card Used Fractal #80 - Fire Burns Spending time you, Luna, makes… Full series:  Used Fractal slice-of-life fantasy webcomic non-binary trans woman navigating life maintaining relationships struggling mental health. world messy. room.","comics","comics"
"Space Paternity Covers, :3 handful many covers done comic Space Paternity, like horror, creature features, sci-fi may one you! Link comics socials bio :3","comics","comics"
"someone help settle debate. got pretty heated debate friends think characters would able defeat Thragg. characters are, thing, hulk, dr doom, sentry, juggernaut, wonderwoman, Superman. would individual battles Thragg, one giant team up. characters could see anything thragg would Superman sentry, everyone else doesn’t stand chance. friends saying characters could put fight Thragg, can’t see that. We referencing comics only, movies really needed characters. Someone please tell think this.","comics","comics"
"Comic book hunt Hey all, looking comic friends father. super fantastic four, im sure start. Here's details comic. comic early 70s Dr. Doom walking Latvaria bomb coming destroy city Doom spots little girl list hey parents time find them, covers cape protect bomb. Doom adopts girl becomes princess Latvaria. would really appreciate leads comic, talking years, think would make fantastic birthday present him.","comics","comics"
"OC RATE OC PLEASE…Sorry bad sketch, put picture head paper forgetting details… Guys I’m story boarding. new comic/manga, first draft oc, wanna one 80-90’s manga style realistic features comics set sci fit genre, universe organism…my oc nihilistic, loner, self hating,love deprived depressed masks loneliness obsession exploration, inventing meaningless flings, also…his hairs body completely synthetic, withstand almost anything, especially designed harsh environment like magma, intense g forces even surviving supernovas star bursts…","comics","comics"
"Need help idea comic I’ve need help finer details want team comic team betrayed organization. would show team whole get introduced, dynamics would people born powers. comic would show betrayal aftermath within first issue also would happen next. anyone cool ideas would add something would interesting this, love hear I'm basically second guessing good enough idea run with","comics","comics"
"Buying comic art anywhere buy real comic book art? mean stuff people draw comics? literally mountains mountains stuff there. sure expensive love something nice frame wall","comics","comics"
"need find comic! Hey - sorry I’m quite new comics haha! It’s anniversary partner soon would love get marvel comic released 12th august our anniversary date!! ideas/ suggestions specific comics would helpful - especially release date comic. Thanks advance !!","comics","comics"
"New nervous started try hand comics. would like make these, imagined world street cats neighborhood. Comments welcome! know there's lot learn.","comics","comics"
"know Hush well-liked sub, least agree best Superman/Batman fight? feel like times Bats/Supes fight, whether comics adaptations, writers opt make fisticuff contingent Superman weakened Batman using convenient hi-tech armor never brings again. TDKR obviously both, Red Son, TBATB, BvS, Endgame also samples, Hush, hand, made victory based intelligence whilst downplaying Supes's powers. Batman acknowledge Clark trying fight mind control, constantly adapting fly survive, also initiate Lois Lane contingency plan Catwoman.","comicbooks","comics"
"Indie titles I’m seriously considering diving comics produced big 2 Marvel/DC. recommendations. like horror super hero comics. Anything worth getting Image, dynamite, titan etc?","comicbooks","comics"
